Fecha/Data,Descripcion,Deskribapena,Lugar,Tokia,Territorio/lurraldea,Codigo Eustat,Latitud,Longitud,,,
17/07/2020,Fiesta local,Tokiko jai-eguna,Antzuola  ,Antzuola  ,Gipuzkoa,11,43,99441,-2,381747,
11/11/2020,San Martín  ,Martin Deuna,Arama  ,Arama  ,Gipuzkoa,12,43,63637,-2,165558,
17/08/2020,Fiesta local,Tokiko jai-eguna,Aretxabaleta  ,Aretxabaleta  ,Gipuzkoa,13,43,36248,-2,504542,
24/06/2020,San Juan Bautista,San Juan Bataiatzailea,Arrasate-Mondragon  ,Arrasate-Mondragon  ,Gipuzkoa,55,43,66517,-2,487562,
29/06/2020,San Pedro  ,San Pedro,Asteasu  ,Asteasu  ,Gipuzkoa,14,43,195198,-2,97548,
27/07/2020,Fiesta local,Tokiko jai-eguna,Astigarraga  ,Astigarraga  ,Gipuzkoa,903,43,280652,-1,947560,
11/11/2020,San Martín,San Martin,Ataun - Bº San Martin  ,Ataun - San Martin auzoa  ,Gipuzkoa,15,43,5480,-2,176620,
03/09/2020,San Gregorio  ,San Gregorio  ,Ataun - Bº San Gregorio  ,Ataun - San Gregorio auzoa  ,Gipuzkoa,15,42,978091,-2,180286,
02/07/2020,Santa Isabel,Santa Isabel,Ataun - Bº de Aia  ,Ataun - Aia auzoa  ,Gipuzkoa,15,42,966249,-2,154330,
30/11/2020,San Andrés  ,San Andres,Azkoitia  ,Azkoitia  ,Gipuzkoa,17,43,178205,-2,311640,
20/01/2020,San Sebastián,San Sebastian,Azpeitia  ,Azpeitia  ,Gipuzkoa,18,43,183900,-2,265466,
24/06/2020,San Juan,San Juan,Baliarrain  ,Baliarrain  ,Gipuzkoa,904,43,69306,-2,129235,
25/05/2020,Fiesta local,Tokiko jai-eguna,Beasain  ,Beasain  ,Gipuzkoa,19,43,47076,-2,204605,
29/06/2020,Fiesta local,Tokiko jai-eguna,Beizama  ,Beizama  ,Gipuzkoa,20,43,134191,-2,200113,
24/06/2020,San Juan,San Juan,Belaunza  ,Belauntza  ,Gipuzkoa,21,43,135283,-2,50705,
10/08/2020,San Lorenzo  ,San Lorentzo,Berastegi  ,Berastegi  ,Gipuzkoa,22,43,124029,-1,979426,
16/09/2020,San Martín,San Martin,Bergara  ,Bergara  ,Gipuzkoa,74,43,118217,-2,413358,
28/08/2020,Fiesta local,Tokiko jai-eguna,Berrobi  ,Berrobi  ,Gipuzkoa,23,43,145479,-2,26374,
17/08/2020,Fiesta local,Tokiko jai-eguna,Bidegoian  - Goiatz  ,Bidegoian  - Goiatz  ,Gipuzkoa,24,43,142086,-2,167475,
24/08/2020,Fiesta local,Tokiko jai-eguna,Bidegoian - Bidania  ,Bidegoian - Bidania  ,Gipuzkoa,24,43,139399,-2,159979,
17/08/2020,Fiesta local,Tokiko jai-eguna,Deba  ,Deba  ,Gipuzkoa,29,43,295562,-2,353894,
20/01/2020,San Sebastián  ,San Sebastian,Donostia-San Sebastian  ,Donostia-San Sebastian  ,Gipuzkoa,69,43,321874,-1,985520,
24/06/2020,San Juan,San Juan,Eibar  ,Eibar  ,Gipuzkoa,30,43,184180,-2,473289,
08/09/2020,Fiesta local,Tokiko jai-eguna,Elduaien  ,Elduain  ,Gipuzkoa,31,43,140712,-2,488,
03/07/2020,Fiesta local,Tokiko jai-eguna,Elgeta  ,Elgeta  ,Gipuzkoa,33,43,136572,-2,487392,
17/01/2020,San Antón  ,San Anton,Elgoibar  ,Elgoibar  ,Gipuzkoa,32,43,215187,-2,415702,
22/07/2020,María Magdalena  ,Madalena,Errenteria  ,Errenteria  ,Gipuzkoa,67,43,312752,-1,899633,
11/11/2020,Fiesta local,Tokiko jaieguna,Errezil  ,Errezil  ,Gipuzkoa,66,43,164674,-2,173594,
29/06/2020,San Pedro,San Pedro,Eskoriatza  ,Eskoriatza  ,Gipuzkoa,34,43,17074,-2,526980,
08/05/2020,Aparicion de San Miguel,Mikel Deuna,Ezkio-Itsaso - Ezkio  ,Ezkio-Itsaso - Ezkio  ,Gipuzkoa,35,43,80484,-2,275421,
29/06/2020,San Pedro,San Pedro,Ezkio-Itsaso - Sta. Lutzi-Anduaga,Ezkio-Itsaso - Sta. Lutzi-Anduaga,Gipuzkoa,35,43,64321,-2,274735,
17/08/2020,Día siguiente a San Roque  ,San Rokeren biharamuna,Gabiria  ,Gabiria  ,Gipuzkoa,38,43,49689,-2,279856,
29/09/2020,San Miguel  ,San Migel,Gaintza  ,Gaintza  ,Gipuzkoa,37,43,52629,-2,132370,
14/08/2020,Fiesta local,Tokiko jaieguna,Gaztelu  ,Gaztelu  ,Gipuzkoa,907,43,116579,-2,22278,
06/08/2020,San Salvador  ,Salbatore Deuna,Getaria  ,Getaria  ,Gipuzkoa,39,43,303261,-2,204363,
24/06/2020,San Juan,San Juan,Hernani  ,Hernani  ,Gipuzkoa,40,43,267549,-1,975814,
14/08/2020,Fiesta local,Tokiko jai-eguna,Hernialde  ,Hernialde  ,Gipuzkoa,41,43,154467,-2,85025,
08/09/2020,Ntra. Sra. De Guadalupe,Guadalupeko Ama,Hondarribia  ,Hondarribia  ,Gipuzkoa,36,43,362531,-1,791498,
24/08/2020,San Bartolomé  ,San Bartolome,Ibarra  ,Ibarra  ,Gipuzkoa,42,43,132345,-2,65462,
03/02/2020,Fiesta local,Tokiko jai-eguna,Idiazabal  ,Idiazabal  ,Gipuzkoa,43,43,11782,-2,234214,
10/08/2020,San Lorenzo,San Lorentzo,Ikaztegieta  ,Ikaztegieta  ,Gipuzkoa,44,43,94960,-2,123900,
30/06/2020,Fiesta local,Tokiko jai-eguna,Irun  ,Irun  ,Gipuzkoa,45,43,338233,-1,789272,
29/09/2020,San Miguel ,San Migel,Irura  ,Irura  ,Gipuzkoa,46,43,165688,-2,69616,
22/07/2020,María Magdalena,Madalena Donea,Itsaso - Barrio Itxaso-Alegia ,Itsaso - Itxaso-Alegia auzoa ,Gipuzkoa,35,43,58055,-2,268215,
24/08/2020,San Bartolomé,Bartolome Deuna,Itsaso - Casco,Itsaso - hirigunea,Gipuzkoa,35,43,72544,-2,257418,
08/09/2020,Día de la Virgen de Kizkitza,Kizkitzako Ama Birjinaren eguna,Itsaso - Mendialdea,Itsaso - Mendialdea Zozkera,Gipuzkoa,35,43,72544,-2,257418,
18/09/2020,Fiesta local,Tokiko jai-eguna,Itsasondo  ,Itsasondo  ,Gipuzkoa,47,43,66932,-2,167393,
03/08/2020,San Esteban,San Esteban,Larraul  ,Larraul  ,Gipuzkoa,48,43,187739,-2,102534,
29/06/2020,San Pedro ,San Pedro ,Lasarte-Oria  ,Lasarte-Oria,Gipuzkoa,902,43,267455,-2,20179,
28/04/2020,San Prudencio  ,San Prudentzio,Lazkao  ,Lazkao  ,Gipuzkoa,49,43,34324,-2,187379,
29/06/2020,San Pedro ,San Pedro,Leaburu  ,Leaburu  ,Gipuzkoa,50,43,124984,-2,52106,
04/05/2020,Fiesta local,Tokiko jai-eguna,Tokiko jai-eguna,Legazpi  ,Gipuzkoa,51,43,54361,-2,333641,
21/05/2020,La Ascensión,Azintzio eguna,Legorreta  ,Legorreta  ,Gipuzkoa,52,43,85794,-2,150909,
08/09/2020,Virgen de Dorleta,Dorletako Ama,Leintz-Gatzaga  ,Leintz-Gatzaga  ,Gipuzkoa,68,42,987112,-2,568626,
14/09/2020,Exaltación de la Santa Cruz  ,Gurutze Santuaren gorespena,Lezo  ,Lezo  ,Gipuzkoa,53,43,321127,-1,898775,
08/09/2020,Fiesta local,Tokiko jaieguna,Lizartza  ,Lizartza  ,Gipuzkoa,54,43,103720,-2,34254,
27/07/2020,Santa Ana Txiki,Santa Ana Txiki,Mendaro  ,Mendaro  ,Gipuzkoa,901,43,264167,-2,375500,
29/06/2020,San Pedro  ,San Pedro,Mutiloa  ,Mutiloa  ,Gipuzkoa,57,43,22380,-2,272826,
22/07/2020,María Magdalena,Madalen eguna,Mutriku  ,Mutriku  ,Gipuzkoa,56,43,307069,-2,385083,
03/08/2020,San Esteban  ,Don Eztebe,Oiartzun  ,Oiartzun  ,Gipuzkoa,63,43,299282,-1,857874,
24/06/2020,San Juan,San Joan,Olaberria  ,Olaberria  ,Gipuzkoa,58,43,27075,-2,203089,
29/09/2020,San Miguel,San Migel,Oñati  ,Oñati  ,Gipuzkoa,59,43,32888,-2,411348,
27/07/2020,Día Siguiente a Santa Ana,Santa Anaren biharamuna,Ordizia  ,Ordizia  ,Gipuzkoa,76,43,54198,-2,178115,
20/01/2020,San Sebastián,San Sebastian,Orendain  ,Orendain  ,Gipuzkoa,905,43,79721,-2,114290,
04/05/2020,Fiesta local,Tokiko jaieguna,Orexa  ,Orexa  ,Gipuzkoa,60,43,93881,-2,11392,
29/06/2020,San Pedro  ,San Pedro,Orio  ,Orio  ,Gipuzkoa,61,43,278323,-2,126597,
30/11/2020,San Andrés  ,San Andres,Ormaiztegi  ,Ormaiztegi  ,Gipuzkoa,62,43,42735,-2,255848,
07/07/2020,San Fermín,San Fermin,Pasaia - Antxo  ,Pasaia - Antxo  ,Gipuzkoa,64,43,317534,-1,917562,
24/06/2020,San Juan,San Juan,Pasaia - Donibane  ,Pasaia - Donibane  ,Gipuzkoa,64,43,327481,-1,919883,
29/06/2020,San Pedro  ,San Pedro,Pasaia - San Pedro  ,Pasaia - San Pedro  ,Gipuzkoa,64,43,323348,-1,930432,
16/07/2020,Virgen del Carmen  ,Karmengo Ama,Pasaia - Trintxerpe  ,Pasaia - Trintxerpe  ,Gipuzkoa,64,43,326138,-1,931587,
24/06/2020,Fiesta local,Tokiko jaieguna,Segura  ,Segura  ,Gipuzkoa,70,43,9216,-2,252519,
26/07/2020,Día siguiente a Santa Ana  ,Santa Anaren biharamuna,Soraluze - P. De Las Armas,Soraluze - P. De Las Armas,Gipuzkoa,65,43,175430,-2,412494,
24/06/2020,San Juan,San Juan,Tolosa  ,Tolosa  ,Gipuzkoa,71,43,136978,-2,73914,
29/09/2020,San Miguel  ,San Migel,Urnieta  ,Urnieta  ,Gipuzkoa,72,43,248200,-1,990517,
21/09/2020,Santa Anastasia  ,Santa Anastasia,Urretxu  ,Urretxu  ,Gipuzkoa,77,43,92282,-2,314383,
